adp_rank,name,adp_avg
278,Indianapolis Colts DST,245.5
279,Jaylin Noel,247.0
280,Odell Beckham Jr.,250.5
281,Washington Commanders DST,250.5
282,Chris Brooks,251.0
283,Ty Simpson,334.0
284,Kirk Cousins,251.5
285,Michael Penix Jr.,257.5
286,Gunnar Helm,259.0
287,Germie Bernard,259.0
288,Mason Taylor,259.5
289,Seth McGowan,260.0
290,Jacob Saylors,261.5
291,Tampa Bay Buccaneers DST,262.0
292,Tua Tagovailoa,265.0
293,Zavion Thomas,268.5
294,Dominic Zvada,269.0
295,Cole Kmet,271.0
296,Marvin Mims Jr.,271.5
297,Matt Gay,347.7
298,Darnell Washington,274.5
299,Troy Franklin,278.0
300,Tory Horton,278.5
301,Keon Coleman,280.5
302,Riley Patterson,353.7
303,Jack Bech,285.5
304,Camden Brown,288.0
305,Darnell Mooney,289.0
306,Adrian Martinez,289.5
307,Miami Dolphins DST,361.3
308,Charlie Smyth,362.7
309,Jake Tonges,297.0
310,Michael Trigg,298.5
311,Drew Stevens,298.5
312,Jameis Winston,301.0
313,Dawson Knox,302.5
314,Geno Smith,302.5
315,Arizona Cardinals DST,369.7
316,Hollywood Brown,305.5
317,Devontez Walker,305.5
318,Colby Parkinson,306.0
319,Chad Ryland,308.5
320,Emanuel Wilson,309.5
321,Ben Sauls,310.0
322,Jason Sanders,311.0
323,Elic Ayomanor,311.5
324,Joey Slye,312.5
325,Kaden Wetjen,314.0
326,Devin Singletary,314.5
327,Kendre Miller,315.0
328,Tommy DeVito,317.0
329,Roschon Johnson,318.0
330,J.J. Taylor,318.5
331,Skyler Bell,320.0
332,Efton Chism III,320.0
333,Jalon Daniels,320.5
334,Myles Price,322.0
335,Ashton Dulin,323.5
336,Luke McCaffrey,329.0
337,Theo Johnson,329.5
338,Kyle Allen,331.0
339,Jonathan Mingo,331.5
340,Jake Moody,333.0
341,Andre Szmyt,333.5
342,Trey Benson,389.0
343,KaVontae Turpin,334.0
344,Montorie Foster Jr.,335.5
345,Ryan Fitzgerald,336.5
346,Dohnte Meyers,340.5
347,Brashard Smith,341.0
348,Devin Neal,343.0
349,Drew Lock,344.0
350,Colbie Young,344.5
351,Tyson Bagent,346.0
352,Drew Allar,346.5
353,Joshua Palmer,346.5
354,Jimmy Garoppolo,347.5
355,Tyrod Taylor,348.5
356,Elijah Sarratt,399.0
357,Joe Flacco,349.5
358,Barion Brown,351.0
359,Audric Estime,354.0
360,Tyler Higbee,355.5
